                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5519,                 4.6141,                 1.4772,                0.57944,                0.09298,                0.08963,                0.06209,                 1.2251,                 3.2681,                 1.1785,             8.6799e-05,             8.6799e-05,             8.6799e-05
                      1,                 1.5006,                 3.4179,                 1.3867,                0.45588,                0.30036,                0.24289,                0.16392,                 1.1972,                 2.2482,                 1.1896,             0.00017442,             0.00017442,             0.00017442
                      2,                 1.4869,                 2.8859,                 1.3675,                 0.6337,                0.32154,                0.34182,                0.22748,                 1.1628,                 1.9869,                 1.1408,             0.00026188,             0.00026188,             0.00026188
                      3,                 1.4378,                 2.6151,                 1.3605,                0.66265,                 0.3429,                0.40346,                0.27326,                 1.1162,                 1.9738,                 1.1235,             0.00026242,             0.00026242,             0.00026242
                      4,                 1.3916,                  2.386,                 1.3272,                0.55774,                0.43019,                0.43943,                0.30329,                 1.1252,                 1.7285,                 1.1195,             0.00026242,             0.00026242,             0.00026242
                      5,                 1.4044,                 2.2135,                 1.3162,                0.65523,                0.45527,                0.46467,                0.31657,                 1.0812,                 1.6865,                  1.101,             0.00026197,             0.00026197,             0.00026197
                      6,                 1.3655,                 2.1157,                 1.3067,                0.53527,                0.48288,                0.51525,                 0.3442,                 1.0902,                 1.3919,                 1.1061,              0.0002614,              0.0002614,              0.0002614
                      7,                  1.353,                 2.0189,                 1.2914,                0.68472,                0.50334,                 0.5759,                0.39729,                 1.0453,                 1.3451,                 1.0655,             0.00026069,             0.00026069,             0.00026069
                      8,                 1.3536,                 1.9263,                 1.2798,                0.66479,                0.54197,                0.58312,                0.41029,                 1.0557,                 1.2479,                 1.0714,             0.00025986,             0.00025986,             0.00025986
                      9,                 1.3287,                  1.873,                  1.271,                0.65059,                0.53476,                0.58732,                0.40904,                 1.0833,                 1.2589,                 1.0727,             0.00025891,             0.00025891,             0.00025891
                     10,                 1.3378,                 1.8112,                 1.2703,                0.73023,                 0.5355,                0.64528,                0.44621,                  1.062,                 1.2051,                 1.0655,             0.00025783,             0.00025783,             0.00025783
                     11,                 1.3277,                 1.7268,                 1.2717,                0.62804,                0.62282,                0.69173,                0.48067,                 1.0464,                 1.1026,                 1.0529,             0.00025663,             0.00025663,             0.00025663
                     12,                 1.3126,                 1.6188,                 1.2474,                0.65068,                0.62703,                0.69448,                0.48549,                 1.0457,                 1.1344,                 1.0599,              0.0002553,              0.0002553,              0.0002553
                     13,                  1.305,                 1.6141,                 1.2517,                0.73327,                0.68818,                0.72403,                0.50571,                 1.0074,                 1.1027,                 1.0357,             0.00025386,             0.00025386,             0.00025386
                     14,                 1.2907,                 1.5518,                 1.2393,                0.72899,                0.59554,                0.72024,                0.48883,                 1.0267,                 1.1559,                 1.0512,             0.00025229,             0.00025229,             0.00025229
                     15,                 1.2857,                 1.5558,                 1.2476,                0.70724,                0.68553,                0.74837,                 0.5283,                 1.0108,                 1.0393,                 1.0355,             0.00025061,             0.00025061,             0.00025061
                     16,                 1.2441,                 1.4843,                 1.2222,                0.85918,                0.58326,                0.75568,                0.53621,                 1.0048,                 1.0725,                 1.0307,             0.00024881,             0.00024881,             0.00024881
                     17,                 1.2831,                 1.4278,                  1.234,                0.73982,                0.72175,                0.79314,                 0.5526,                0.99191,                0.90226,                 1.0304,              0.0002469,              0.0002469,              0.0002469
                     18,                 1.2391,                 1.4227,                 1.2098,                0.72602,                0.74256,                0.79628,                0.56287,                0.98001,                 0.9054,                 1.0071,             0.00024487,             0.00024487,             0.00024487
                     19,                 1.2515,                 1.3461,                 1.2023,                 0.8091,                0.68749,                0.79812,                0.55756,                 1.0049,                0.90272,                 1.0364,             0.00024273,             0.00024273,             0.00024273
                     20,                 1.2301,                 1.3318,                 1.2099,                0.77936,                0.73445,                0.79912,                0.55576,                0.98406,                0.92832,                 1.0051,             0.00024049,             0.00024049,             0.00024049
                     21,                 1.2359,                 1.3513,                 1.1963,                0.80547,                0.76059,                0.83503,                0.59329,                0.97782,                0.83384,                 1.0135,             0.00023814,             0.00023814,             0.00023814
                     22,                 1.2144,                 1.2526,                 1.1954,                0.82454,                0.72693,                 0.8392,                0.58667,                 0.9483,                0.82596,                0.99133,             0.00023568,             0.00023568,             0.00023568
                     23,                 1.2374,                 1.2608,                 1.2025,                0.76662,                0.78157,                0.83317,                0.58374,                0.97044,                0.95102,                0.99828,             0.00023312,             0.00023312,             0.00023312
                     24,                 1.2137,                 1.2294,                  1.197,                0.78571,                0.77746,                0.83687,                0.60893,                0.93615,                0.93095,                0.98513,             0.00023047,             0.00023047,             0.00023047
                     25,                 1.2088,                 1.2078,                 1.1917,                0.78863,                0.79486,                0.86699,                0.62092,                0.97158,                0.88878,                 1.0079,             0.00022772,             0.00022772,             0.00022772
                     26,                 1.1875,                 1.2032,                 1.1832,                0.85486,                0.77977,                0.86518,                0.62053,                0.94741,                0.79687,                0.98488,             0.00022487,             0.00022487,             0.00022487
                     27,                    1.2,                 1.1448,                 1.1861,                0.86467,                0.76991,                0.87007,                0.63916,                0.93743,                0.74615,                0.98513,             0.00022193,             0.00022193,             0.00022193
                     28,                 1.1897,                 1.1555,                 1.1705,                0.75512,                0.80121,                0.84801,                0.62761,                0.95023,                0.80262,                0.99172,             0.00021891,             0.00021891,             0.00021891
                     29,                 1.2015,                 1.1439,                 1.1801,                 0.8014,                0.79092,                 0.8554,                0.63057,                0.92255,                0.76489,                0.98289,              0.0002158,              0.0002158,              0.0002158
                     30,                 1.1689,                 1.1201,                 1.1685,                0.81171,                0.81661,                0.87503,                0.63615,                0.92081,                 0.8099,                0.97861,             0.00021261,             0.00021261,             0.00021261
                     31,                 1.1634,                 1.1175,                 1.1698,                  0.844,                0.84143,                0.90535,                0.65246,                0.90717,                0.73775,                0.95962,             0.00020934,             0.00020934,             0.00020934
                     32,                 1.1778,                 1.0882,                 1.1676,                 0.8574,                0.83415,                0.91257,                0.67232,                 0.9062,                0.71262,                0.96083,             0.00020599,             0.00020599,             0.00020599
                     33,                 1.1825,                 1.1021,                 1.1678,                0.84276,                0.84597,                0.92471,                0.68597,                0.89276,                0.66949,                0.95567,             0.00020257,             0.00020257,             0.00020257
                     34,                 1.1581,                  1.043,                  1.157,                0.81394,                0.84757,                0.91761,                0.67811,                0.89826,                0.71747,                0.95714,             0.00019908,             0.00019908,             0.00019908
                     35,                 1.1698,                 1.0398,                 1.1739,                0.86297,                  0.816,                0.90143,                0.68135,                0.89231,                0.68931,                0.95441,             0.00019553,             0.00019553,             0.00019553
                     36,                 1.1605,                  1.024,                 1.1484,                0.85162,                0.86943,                0.94005,                0.70028,                0.89392,                0.66912,                0.95914,             0.00019192,             0.00019192,             0.00019192
                     37,                 1.1258,                0.98102,                 1.1375,                0.77957,                0.86739,                0.91662,                0.67174,                0.86161,                0.76282,                0.94121,             0.00018825,             0.00018825,             0.00018825
                     38,                 1.1454,                 0.9819,                 1.1506,                0.86496,                0.85176,                0.91795,                0.67858,                0.89727,                0.67787,                0.95705,             0.00018452,             0.00018452,             0.00018452
                     39,                 1.1256,                 0.9659,                  1.138,                0.89695,                0.88151,                0.93803,                0.69829,                0.85846,                0.64723,                 0.9393,             0.00018074,             0.00018074,             0.00018074
                     40,                 1.1396,                0.97254,                 1.1514,                 0.8899,                0.87126,                0.93584,                 0.7011,                0.86913,                0.65465,                0.94405,             0.00017691,             0.00017691,             0.00017691
                     41,                 1.1318,                0.96443,                 1.1454,                0.85369,                 0.8641,                0.92426,                0.69185,                0.86305,                 0.6669,                0.94412,             0.00017304,             0.00017304,             0.00017304
                     42,                 1.1078,                0.94211,                 1.1368,                0.88626,                0.87206,                0.93255,                0.71215,                0.84724,                0.62472,                0.93564,             0.00016914,             0.00016914,             0.00016914
                     43,                 1.1039,                0.94509,                 1.1268,                0.89003,                0.89805,                0.93958,                 0.7248,                0.84788,                0.62737,                0.93332,             0.00016519,             0.00016519,             0.00016519
                     44,                 1.0844,                0.90124,                 1.1237,                0.89797,                0.88422,                0.94272,                0.71936,                0.84092,                0.60967,                0.92446,             0.00016121,             0.00016121,             0.00016121
                     45,                 1.1027,                0.89309,                 1.1134,                0.87705,                0.88097,                0.93829,                0.71949,                0.84249,                 0.5979,                0.92875,             0.00015721,             0.00015721,             0.00015721
                     46,                 1.0803,                 0.9052,                 1.1244,                0.84733,                0.90567,                0.93945,                 0.7153,                0.84198,                0.62136,                0.92266,             0.00015318,             0.00015318,             0.00015318
                     47,                 1.0946,                0.89282,                 1.1301,                0.88061,                0.88483,                0.94571,                0.73152,                 0.8362,                0.60165,                0.92269,             0.00014913,             0.00014913,             0.00014913
                     48,                 1.0812,                 0.8931,                 1.1246,                0.88258,                0.89133,                0.94658,                0.72519,                 0.8186,                0.56909,                0.91611,             0.00014507,             0.00014507,             0.00014507
                     49,                 1.0891,                0.87494,                 1.1096,                0.91039,                0.88591,                0.95119,                0.72727,                0.83233,                0.58056,                0.92417,             0.00014099,             0.00014099,             0.00014099
                     50,                 1.0704,                0.86163,                 1.1036,                0.87848,                0.89709,                0.95012,                0.73793,                0.80173,                 0.5712,                0.91051,              0.0001369,              0.0001369,              0.0001369
                     51,                 1.0675,                0.86425,                  1.112,                0.92144,                0.86233,                0.94698,                0.74484,                0.80415,                0.56464,                0.91296,             0.00013282,             0.00013282,             0.00013282
                     52,                 1.0645,                 0.8334,                   1.11,                0.88819,                0.89233,                0.95211,                0.73161,                0.81191,                0.55699,                0.90952,             0.00012873,             0.00012873,             0.00012873
                     53,                 1.0627,                0.84753,                 1.1046,                0.90171,                0.90509,                0.95138,                0.73681,                0.80179,                0.53613,                0.90833,             0.00012464,             0.00012464,             0.00012464
                     54,                 1.0601,                0.82493,                 1.1023,                0.90222,                 0.8933,                0.95028,                0.73177,                0.80179,                0.56226,                0.90308,             0.00012056,             0.00012056,             0.00012056
                     55,                 1.0497,                0.82875,                 1.0988,                0.86721,                0.94178,                0.95739,                0.74366,                0.79476,                0.54062,                0.90322,              0.0001165,              0.0001165,              0.0001165
                     56,                 1.0328,                0.82036,                 1.0944,                0.87517,                0.90761,                0.94955,                0.73603,                0.79739,                0.55333,                0.90373,             0.00011245,             0.00011245,             0.00011245
                     57,                 1.0419,                0.81671,                 1.1074,                0.87899,                0.91095,                0.96312,                 0.7457,                0.78218,                0.53571,                0.89791,             0.00010842,             0.00010842,             0.00010842
                     58,                 1.0419,                0.81162,                 1.0903,                0.86237,                0.90257,                0.95101,                 0.7484,                0.78693,                0.54204,                0.90003,             0.00010442,             0.00010442,             0.00010442
                     59,                 1.0176,                0.79912,                 1.0869,                0.89436,                0.89859,                0.95837,                0.75611,                0.78354,                0.53391,                0.89667,             0.00010044,             0.00010044,             0.00010044
                     60,                 1.0175,                0.79115,                 1.0898,                0.91126,                0.90113,                0.96054,                0.75801,                0.76285,                0.54008,                 0.8865,             9.6495e-05,             9.6495e-05,             9.6495e-05
                     61,                 1.0154,                0.76975,                 1.0852,                0.92273,                0.91009,                0.96452,                0.76985,                 0.7573,                0.51459,                0.88451,             9.2586e-05,             9.2586e-05,             9.2586e-05
                     62,                 1.0343,                0.77669,                 1.0939,                0.91059,                0.90809,                0.96283,                0.76281,                0.76692,                 0.5366,                0.88823,             8.8716e-05,             8.8716e-05,             8.8716e-05
                     63,                 1.0176,                0.76332,                 1.0855,                0.88759,                0.93823,                0.96419,                0.77193,                0.75423,                0.53616,                0.88248,             8.4891e-05,             8.4891e-05,             8.4891e-05
                     64,                 1.0148,                0.76263,                 1.0831,                0.91146,                0.92043,                0.96579,                0.76564,                0.76023,                0.51626,                0.88598,             8.1112e-05,             8.1112e-05,             8.1112e-05
                     65,                0.99453,                0.75802,                 1.0737,                0.91405,                0.91599,                0.96283,                0.76641,                0.74742,                0.51566,                0.87769,             7.7385e-05,             7.7385e-05,             7.7385e-05
                     66,                 1.0206,                0.77896,                 1.0921,                0.91665,                 0.9168,                0.96289,                0.75478,                0.76058,                0.51929,                 0.8818,             7.3712e-05,             7.3712e-05,             7.3712e-05
                     67,                 0.9929,                0.73784,                 1.0689,                  0.921,                0.90791,                0.96255,                0.76706,                0.75524,                0.52004,                0.88253,             7.0098e-05,             7.0098e-05,             7.0098e-05
                     68,                 1.0014,                0.74462,                 1.0714,                0.91996,                0.92099,                0.96047,                0.76764,                0.73948,                  0.492,                0.87667,             6.6545e-05,             6.6545e-05,             6.6545e-05
                     69,                 1.0046,                 0.7388,                 1.0702,                 0.9112,                0.92633,                0.96216,                0.77366,                0.73186,                0.49487,                0.86891,             6.3058e-05,             6.3058e-05,             6.3058e-05
                     70,                0.99399,                0.75345,                 1.0725,                0.91747,                0.91544,                0.96396,                0.77519,                0.72567,                0.49386,                0.86784,              5.964e-05,              5.964e-05,              5.964e-05
                     71,                0.98013,                0.73929,                 1.0663,                0.92754,                0.92744,                0.96584,                0.77775,                 0.7319,                 0.4925,                0.87204,             5.6294e-05,             5.6294e-05,             5.6294e-05
                     72,                0.97344,                0.72848,                 1.0564,                  0.907,                0.92602,                0.96933,                  0.778,                0.72849,                0.49778,                0.86869,             5.3024e-05,             5.3024e-05,             5.3024e-05
                     73,                0.98258,                0.73207,                 1.0569,                0.93585,                0.92691,                0.97339,                0.78786,                0.72584,                0.48257,                0.86834,             4.9832e-05,             4.9832e-05,             4.9832e-05
                     74,                0.96646,                0.70726,                 1.0568,                0.92951,                0.93502,                 0.9754,                0.79051,                0.72504,                0.47507,                0.86519,             4.6722e-05,             4.6722e-05,             4.6722e-05
                     75,                0.98023,                0.72082,                 1.0618,                0.93024,                0.92637,                 0.9724,                0.78556,                0.71468,                0.47857,                0.86703,             4.3697e-05,             4.3697e-05,             4.3697e-05
                     76,                0.98686,                0.71401,                 1.0603,                0.92706,                0.92623,                0.96884,                0.78247,                0.71982,                0.48676,                 0.8662,              4.076e-05,              4.076e-05,              4.076e-05
                     77,                0.97189,                0.70068,                 1.0565,                0.92559,                0.93737,                0.97544,                0.78921,                 0.7152,                0.47063,                0.86464,             3.7914e-05,             3.7914e-05,             3.7914e-05
                     78,                0.97561,                0.70228,                 1.0567,                0.92186,                0.93742,                0.97628,                0.78536,                0.71415,                0.46933,                0.86225,             3.5162e-05,             3.5162e-05,             3.5162e-05
                     79,                0.98271,                0.71332,                 1.0631,                0.93817,                0.93096,                0.97647,                0.79061,                 0.7058,                0.46622,                0.86006,             3.2506e-05,             3.2506e-05,             3.2506e-05
                     80,                0.96297,                0.70624,                 1.0553,                 0.9251,                0.92936,                 0.9727,                0.78836,                0.71002,                0.46986,                0.86256,             2.9949e-05,             2.9949e-05,             2.9949e-05
                     81,                0.94569,                0.69133,                 1.0419,                0.92588,                0.93638,                0.97575,                 0.7875,                0.70554,                0.47162,                0.86067,             2.7493e-05,             2.7493e-05,             2.7493e-05
                     82,                0.95288,                0.70981,                 1.0576,                0.93667,                0.93164,                0.97621,                0.79311,                0.70505,                0.46671,                0.86036,             2.5142e-05,             2.5142e-05,             2.5142e-05
                     83,                0.95433,                0.69608,                 1.0493,                0.93713,                0.93571,                0.97384,                0.78431,                0.70214,                0.46517,                0.85981,             2.2896e-05,             2.2896e-05,             2.2896e-05
                     84,                0.94264,                0.67744,                 1.0522,                0.93858,                0.93629,                0.97417,                0.78876,                0.70277,                0.45771,                0.86039,             2.0759e-05,             2.0759e-05,             2.0759e-05
                     85,                0.94343,                0.68474,                 1.0404,                0.93665,                 0.9372,                  0.975,                0.79547,                0.69226,                0.45612,                0.85552,             1.8733e-05,             1.8733e-05,             1.8733e-05
                     86,                0.93264,                0.67771,                 1.0412,                0.93706,                0.93489,                0.97666,                0.79733,                0.69683,                0.45478,                0.85618,             1.6819e-05,             1.6819e-05,             1.6819e-05
                     87,                0.92974,                0.67796,                 1.0434,                0.93627,                0.93541,                0.97666,                0.79757,                0.69087,                0.45847,                0.85502,              1.502e-05,              1.502e-05,              1.502e-05
                     88,                0.93504,                0.67635,                 1.0466,                0.93673,                0.93547,                0.97429,                0.79894,                0.69527,                0.46052,                0.85661,             1.3337e-05,             1.3337e-05,             1.3337e-05
                     89,                0.96639,                0.69467,                 1.0483,                0.93556,                 0.9362,                0.97614,                0.79843,                0.68986,                0.45741,                0.85467,             1.1772e-05,             1.1772e-05,             1.1772e-05
                     90,                0.93411,                0.72124,                 1.0422,                0.91869,                0.91505,                0.96655,                0.77437,                0.73003,                 0.4991,                 0.8692,             1.0326e-05,             1.0326e-05,             1.0326e-05
                     91,                0.92625,                0.67114,                 1.0297,                0.92201,                0.92254,                0.96944,                0.77974,                0.72635,                0.48538,                 0.8672,             9.0017e-06,             9.0017e-06,             9.0017e-06
                     92,                0.90524,                0.65125,                 1.0243,                0.92421,                 0.9226,                0.97101,                0.78832,                0.72031,                0.48183,                 0.8647,             7.7992e-06,             7.7992e-06,             7.7992e-06
                     93,                0.89815,                0.63682,                 1.0164,                0.92732,                 0.9234,                0.97277,                0.78831,                0.71497,                0.47531,                0.86313,               6.72e-06,               6.72e-06,               6.72e-06
                     94,                0.87932,                0.63871,                 1.0145,                 0.9296,                0.92622,                0.97231,                  0.788,                0.71445,                0.47337,                0.86255,             5.7653e-06,             5.7653e-06,             5.7653e-06
                     95,                0.88421,                0.62645,                 1.0155,                0.93465,                0.92356,                0.97354,                0.79099,                0.70995,                0.46986,                0.86088,             4.9359e-06,             4.9359e-06,             4.9359e-06
                     96,                0.88763,                0.62568,                 1.0135,                0.92572,                0.92571,                0.97066,                 0.7903,                0.70929,                0.46907,                0.86132,             4.2328e-06,             4.2328e-06,             4.2328e-06
                     97,                0.89224,                0.63202,                 1.0107,                0.92529,                0.92545,                0.97154,                0.78804,                0.70797,                0.47253,                0.86094,             3.6565e-06,             3.6565e-06,             3.6565e-06
                     98,                0.89439,                0.64311,                 1.0212,                0.92303,                0.92627,                0.97143,                0.79144,                0.70968,                0.47184,                0.86157,             3.2078e-06,             3.2078e-06,             3.2078e-06
                     99,                0.88547,                0.62247,                 1.0151,                 0.9327,                 0.9271,                0.97277,                0.79624,                0.70376,                 0.4651,                0.85912,             2.8869e-06,             2.8869e-06,             2.8869e-06
